name,group,score,module,type
g__Bifidobacterium;s__Bifidobacterium longum,Actinobacteria,4,1,A
g__Eubacterium;s__Eubacterium sp. CAG:180,Firmicutes,5,1,A
g__Prevotella;s__Prevotella copri,Bacteroidetes,11,1,A
g__Clostridium;s__Clostridium sp. CAG:417,Firmicutes,4,1,A
g__Unclassified;s__Firmicutes bacterium CAG:114,Firmicutes,13,1,A
g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum,Actinobacteria,4,1,A
g__Bifidobacterium;s__Bifidobacterium dentium,Actinobacteria,5,1,A
g__Unclassified;s__[Eubacterium] rectale,Firmicutes,1,1,A
g__Prevotella;s__Prevotella copri CAG:164,Bacteroidetes,8,1,A
g__Lactobacillus;s__Lactobacillus agilis,Firmicutes,1,1,A
g__Blautia;s__[Ruminococcus] torques,Firmicutes,14,1,A
g__Blautia;s__Blautia sp. CAG:257,Firmicutes,21,1,A
g__Holdemanella;s__Holdemanella biformis,Firmicutes,1,1,A
g__Eubacterium;s__Eubacterium ventriosum,Firmicutes,2,1,A
g__Ruminococcus;s__Ruminococcus callidus,Firmicutes,9,1,A
g__Peptostreptococcus;s__Peptostreptococcus stomatis,Firmicutes,5,1,A
g__Clostridium;s__uncultured Clostridium sp.,Firmicutes,10,1,A
g__Alistipes;s__Alistipes finegoldii,Bacteroidetes,9,1,A
g__Bacteroides;s__Bacteroides coprocola,Bacteroidetes,11,1,A
g__Eubacterium;s__Eubacterium sp. CAG:251,Firmicutes,3,1,A
g__Gemmiger;s__Gemmiger formicilis,Firmicutes,3,2,A
g__Ruminococcus;s__Ruminococcus sp. CAG:177,Firmicutes,6,2,A
g__Bifidobacterium;s__Bifidobacterium adolescentis,Actinobacteria,5,2,A
g__Blautia;s__Blautia obeum,Firmicutes,28,2,A
g__Clostridium;s__Clostridium sp. CAG:440,Firmicutes,3,2,A
g__Blautia;s__Blautia sp. CAG:237,Firmicutes,16,2,A
g__Ruminococcus;s__uncultured Ruminococcus sp.,Firmicutes,13,2,A
g__Unclassified;s__Firmicutes bacterium CAG:227,Firmicutes,14,2,A
g__Bacteroides;s__Bacteroides stercoris,Bacteroidetes,18,2,A
g__Dorea;s__Dorea longicatena,Firmicutes,24,2,A
g__Clostridium;s__Clostridium sp. CAG:127,Firmicutes,2,2,A
g__Bifidobacterium;s__Bifidobacterium bifidum,Actinobacteria,5,2,A
g__Adlercreutzia;s__Adlercreutzia equolifaciens,Actinobacteria,10,2,A
g__Bacteroides;s__Bacteroides plebeius,Bacteroidetes,25,3,B
g__Subdoligranulum;s__Subdoligranulum variabile,Firmicutes,3,3,B
g__Collinsella;s__Collinsella aerofaciens,Actinobacteria,18,3,B
g__Alistipes;s__Alistipes putredinis,Bacteroidetes,3,3,B
g__Dorea;s__Dorea sp. CAG:105,Firmicutes,16,3,B
g__Unclassified;s__Firmicutes bacterium CAG:124,Firmicutes,4,3,B
g__Ruminococcus;s__Ruminococcus sp. CAG:254,Firmicutes,4,3,B
g__Eubacterium;s__[Eubacterium] eligens,Firmicutes,1,3,B
g__Fusicatenibacter;s__Fusicatenibacter saccharivorans,Firmicutes,13,3,B
g__Klebsiella;s__Klebsiella pneumoniae,Proteobacteria,1,3,B
g__Lactococcus;s__Lactococcus lactis,Firmicutes,5,3,B
g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,Firmicutes,2,3,B
g__Eubacterium;s__uncultured Eubacterium sp.,Firmicutes,27,3,B
g__Clostridium;s__Clostridium sp. CAG:302,Firmicutes,1,3,B
g__Bacteroides;s__Bacteroides vulgatus,Bacteroidetes,16,3,B
g__Blautia;s__Blautia wexlerae,Firmicutes,25,3,B
g__Unclassified;s__Firmicutes bacterium CAG:321,Firmicutes,5,3,B
g__Unclassified;s__bacterium OL-1,Unclassified,1,3,B
g__Anaerostipes;s__Anaerostipes caccae,Firmicutes,13,3,B
g__Anaerostipes;s__Anaerostipes sp. BG01,Firmicutes,2,3,B
g__Streptococcus;s__Streptococcus salivarius,Firmicutes,2,3,B
g__Clostridium;s__Clostridium sp. CAG:217,Firmicutes,6,3,B
g__Unclassified;s__Firmicutes bacterium CAG:103,Firmicutes,7,3,B
g__Escherichia;s__Escherichia coli,Proteobacteria,1,3,B
g__Oscillibacter;s__Oscillibacter sp. CAG:241_62_21,Firmicutes,3,3,B
g__Ruminococcus;s__Ruminococcus bicirculans,Firmicutes,4,3,B
